step,run_type,err,lane,handle_count
1,learn_on,2.000000,De,0
2,learn_on,2.000000,De,0
3,learn_on,0.000000,Po,0
4,learn_on,2.000000,De,1
5,learn_on,2.000000,De,1
6,learn_on,2.000000,De,1
7,learn_on,0.000000,Po,2
8,learn_on,2.000000,De,2
9,learn_on,2.000000,De,3
10,learn_on,0.000000,Po,3
11,learn_on,2.000000,De,3
12,learn_on,0.000000,Po,2
13,learn_on,2.000000,De,3
14,learn_on,0.000000,Po,3
15,learn_on,2.000000,De,3
16,learn_on,0.000000,Po,3
17,learn_on,0.000000,Po,3
18,learn_on,0.000000,Po,3
19,learn_on,0.000000,Po,3
20,learn_on,0.000000,Po,3
21,learn_on,0.000000,Po,3
22,learn_on,0.000000,Po,3
23,learn_on,2.000000,De,3
24,learn_on,2.000000,De,3
25,learn_on,2.000000,De,3
26,learn_on,2.000000,De,3
27,learn_on,2.000000,De,3
28,learn_on,2.000000,De,3
29,learn_on,2.000000,De,3
30,learn_on,2.000000,De,3
31,learn_on,4.000000,De,3
32,learn_on,2.000000,De,3
33,learn_on,2.000000,De,3
34,learn_on,2.000000,De,3
35,learn_on,0.000000,Po,3
36,learn_on,2.000000,De,3
37,learn_on,2.000000,De,3
38,learn_on,2.000000,De,3
39,learn_on,2.000000,De,3
40,learn_on,4.000000,De,3
41,learn_on,4.000000,De,3
42,learn_on,2.000000,De,3
43,learn_on,2.000000,De,3
44,learn_on,2.000000,De,3
45,learn_on,2.000000,De,3
46,learn_on,2.000000,De,3
47,learn_on,2.000000,De,3
48,learn_on,2.000000,De,3
49,learn_on,2.000000,De,3
50,learn_on,2.000000,De,3
51,learn_on,2.000000,De,3
52,learn_on,2.000000,De,3
53,learn_on,2.000000,De,3
54,learn_on,2.000000,De,3
55,learn_on,2.000000,De,3
56,learn_on,0.000000,Po,3
57,learn_on,0.000000,Po,3
58,learn_on,2.000000,De,3
59,learn_on,4.000000,De,3
60,learn_on,4.000000,De,3
61,learn_on,4.000000,De,3
62,learn_on,4.000000,De,3
63,learn_on,2.000000,De,3
64,learn_on,2.000000,De,3
65,learn_on,0.000000,Po,3
66,learn_on,0.000000,Po,3
67,learn_on,0.000000,Po,3
68,learn_on,0.000000,Po,3
69,learn_on,2.000000,De,3
70,learn_on,4.000000,De,3
71,learn_on,4.000000,De,3
72,learn_on,4.000000,De,3
73,learn_on,4.000000,De,3
74,learn_on,2.000000,De,3
75,learn_on,2.000000,De,3
76,learn_on,0.000000,Po,3
77,learn_on,4.000000,De,3
78,learn_on,4.000000,De,3
