========================================================================
BOOTSTRAP v0.1  partner=adversarial_v1  steps=1000
Watch: predicted vs actual, error, and handles forming.
========================================================================
001  sent=[3]                    pred=[]         act=[7]        err= 2.0  lane=De  handles=H001:0.33 hits=1 (3->7)
002  sent=[4]                    pred=[]         act=[5]        err= 2.0  lane=De  handles=H002:0.33 hits=1 (4->5) | H001:0.33 hits=1 (3->7)
032  sent=[6 3 2 7]              pred=[]         act=[]         err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.64 hits=5 (1,3->5) | H005:0.64 hits=5 (1,4->5,7)
033  sent=[6 3 1 7]              pred=[7]        act=[7]        err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.64 hits=5 (1,3->5) | H005:0.64 hits=5 (1,4->5,7)
034  sent=[8 4 7 3]              pred=[]         act=[]         err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.64 hits=5 (1,3->5) | H005:0.64 hits=5 (1,4->5,7)
035  sent=[2 6 1 6 4 7]          pred=[]         act=[]         err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.64 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
036  sent=[1 5 5 1]              pred=[]         act=[]         err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.64 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
037  sent=[12 6 2 5]             pred=[]         act=[]         err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.64 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
038  sent=[3 3 3 3]              pred=[]         act=[]         err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.63 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
039  sent=[8 1 8 1 8]            pred=[]         act=[5]        err= 2.0  lane=De  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.63 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
040  sent=[8 1 9 1 8]            pred=[]         act=[5]        err= 2.0  lane=De  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.63 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
041  sent=[8 1 9 1 8]            pred=[]         act=[5]        err= 2.0  lane=De  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.63 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
042  sent=[8 1 9 1 8]            pred=[5]        act=[5]        err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.63 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
043  sent=[8 1 9 1 8]            pred=[5]        act=[5]        err= 0.0  lane=Po  handles=H009:0.72 hits=6 (6,3,7->5) | H006:0.63 hits=5 (1,3->5) | H005:0.63 hits=5 (1,4->5,7)
